"attr1_s","attr7_2","attr7_3","attr1_1","attr1_2","attr1_3","gender"
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.19,0.1875,,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.1875,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.3,0.202625,0.375,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.5,0.181375,0.625,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.35,0.3125,0.5,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.3333,0.242375,0.4375,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,0.5,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,1.0,,,1.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.12,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.2,0.1875,0.1875,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.0625,0.3125,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.1,0.125,,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,0.375,0.25,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,0.17,0.1875,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,,,,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.2,0.375,0.5,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.1,0.1875,,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.35,0.5625,0.4375,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.5,0.875,0.625,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,0.375,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.3,0.3125,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.25,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.2,0.4375,,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.1,0.1875,0.25,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.5,0.5625,,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.2,0.1875,0.25,0.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.25,0.1875,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.3,0.5625,,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.2,0.3125,0.1875,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.4375,0.375,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.6875,0.25,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.25,0.25,0.375,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.875,0.875,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.3,0.4375,0.375,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.2,0.3125,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.35,0.875,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.25,0.4375,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.15,0.3125,,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
,,,0.4,0.625,0.4375,1.0
